公路編號,樁號,編碼樁號,交流道名稱,南（東）向出口預告地名,北（西）向出口預告地名,縣市,鄉鎮市區,備註,TWD97-X,TWD97-Y,WGS84-X,WGS84-Y,工程處,工務段
台78,25,P0780025,虎尾交流道,虎尾;土庫,土庫;虎尾,雲林縣,虎尾鎮,,188998.5,2620911.3,120.4018547,23.69082342,第五區養護工程處,斗南工務段
台78,30,P0780030,雲林系統交流道,"國道1號,斗南;國道1號,大林","國道1號,大林;國道1號,斗南",雲林縣,斗南鎮,,193466.8,2619582.6,120.4457172,23.6789886,第五區養護工程處,斗南工務段
台78,32,P0780032,斗南交流道,"台1線,斗南;台1線,大林","台1線,斗南;台1線,大林",雲林縣,大埤鄉,,195800.2,2617307.5,120.4686772,23.65852587,第五區養護工程處,斗南工務段
台78,39,P0780039,古坑交流道,"台3線,斗六;台3線,古坑","台3線,古坑;台3線,斗六",雲林縣,斗六市,,200682.4,2617701.4,120.5165239,23.6622387,第五區養護工程處,斗南工務段
台78,43,P0780043,古坑系統交流道,"國道3號,林內;國道3號,梅山",,雲林縣,古坑鄉,,205219.2,2618288.6,120.5609808,23.6676742,第五區養護工程處,斗南工務段
台82,0,P0820000,東石端,,,嘉義縣,東石鄉,"(虛擬牌面,現地無牌面)",163303.7,2595190.1,120.151419,23.457406,第五區養護工程處,水上工務段
台82,10,P0820010,朴子交流道,"台19線,朴子;台19線,義竹","台19線,義竹;台19線,朴子",嘉義縣,朴子市,,171373.1,2594687.9,120.230422,23.45328092,第五區養護工程處,水上工務段
台82,14,P0820014,祥和交流道,"太保,故宮南院;鹿草","鹿草;太保,故宮南院",嘉義縣,朴子市,,175275.1,2594527,120.2686197,23.45201225,第五區養護工程處,水上工務段
台82,18,P0820018,鹿草交流道,"太保,高鐵站;鹿草","鹿草;太保,高鐵站",嘉義縣,鹿草鄉,,179094.7,2592007,120.3061211,23.42942825,第五區養護工程處,水上工務段
台82,22,P0820022,嘉義系統交流道,"國道1號,嘉義;國道1號,新營","國道1號,新營;國道1號,嘉義",嘉義縣,鹿草鄉,,182722.9,2591777.1,120.3416348,23.42750608,第五區養護工程處,水上工務段
台82,25,P0820025,水上交流道,"台1線,水上;台1線,後壁","台1線,後壁;台1線,水上",嘉義縣,水上鄉,,186165,2590991.7,120.3753509,23.42055297,第五區養護工程處,水上工務段
